SAMPLE_ID,POSITION,TICKER,WEIGHT,SAMPLING_SEED,SAMPLING_DESIGN
8,1,ADSK,0.02,42,balanced_low_overlap
8,2,AEE,0.02,42,balanced_low_overlap
8,3,BAX,0.02,42,balanced_low_overlap
8,4,CAG,0.02,42,balanced_low_overlap
8,5,CI,0.02,42,balanced_low_overlap
8,6,COF,0.02,42,balanced_low_overlap
8,7,COP,0.02,42,balanced_low_overlap
8,8,CPB,0.02,42,balanced_low_overlap
8,9,CSCO,0.02,42,balanced_low_overlap
8,10,DOV,0.02,42,balanced_low_overlap
8,11,DTE,0.02,42,balanced_low_overlap
8,12,ECL,0.02,42,balanced_low_overlap
8,13,ED,0.02,42,balanced_low_overlap
8,14,EMN,0.02,42,balanced_low_overlap
8,15,EMR,0.02,42,balanced_low_overlap
8,16,FE,0.02,42,balanced_low_overlap
8,17,FMC,0.02,42,balanced_low_overlap
8,18,GIS,0.02,42,balanced_low_overlap
8,19,GWW,0.02,42,balanced_low_overlap
8,20,HD,0.02,42,balanced_low_overlap
8,21,HUM,0.02,42,balanced_low_overlap
8,22,JCI,0.02,42,balanced_low_overlap
8,23,K,0.02,42,balanced_low_overlap
8,24,KEY,0.02,42,balanced_low_overlap
8,25,KMB,0.02,42,balanced_low_overlap
8,26,KO,0.02,42,balanced_low_overlap
8,27,L,0.02,42,balanced_low_overlap
8,28,LMT,0.02,42,balanced_low_overlap
8,29,MCK,0.02,42,balanced_low_overlap
8,30,MS,0.02,42,balanced_low_overlap
8,31,NEM,0.02,42,balanced_low_overlap
8,32,NTRS,0.02,42,balanced_low_overlap
8,33,OMC,0.02,42,balanced_low_overlap
8,34,PGR,0.02,42,balanced_low_overlap
8,35,PHM,0.02,42,balanced_low_overlap
8,36,PPL,0.02,42,balanced_low_overlap
8,37,QCOM,0.02,42,balanced_low_overlap
8,38,SLB,0.02,42,balanced_low_overlap
8,39,SNA,0.02,42,balanced_low_overlap
8,40,SWK,0.02,42,balanced_low_overlap
8,41,SYY,0.02,42,balanced_low_overlap
8,42,TAP,0.02,42,balanced_low_overlap
8,43,TFC,0.02,42,balanced_low_overlap
8,44,TGT,0.02,42,balanced_low_overlap
8,45,TT,0.02,42,balanced_low_overlap
8,46,USB,0.02,42,balanced_low_overlap
8,47,VZ,0.02,42,balanced_low_overlap
8,48,WMT,0.02,42,balanced_low_overlap
8,49,WY,0.02,42,balanced_low_overlap
8,50,YUM,0.02,42,balanced_low_overlap
